VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,trip_time
1,08-01-2015 22:44,08-01-2015 22:58,1,3.8,-73.97875977,40.74469757,1,N,-73.96979523,40.78794861,1,14,0.5,0.5,3.05,0,18.35,5004
2,08-01-2015 22:44,08-01-2015 22:55,2,2.14,-73.98509979,40.76204681,1,N,-73.98700714,40.73924255,2,9.5,0.5,0.5,0,0,10.8,5344864
1,08-01-2015 22:44,08-01-2015 22:56,1,2.7,-73.98538208,40.74986649,1,N,-73.99330139,40.72708511,1,11.5,0.5,0.5,2.55,0,15.35,5001
2,08-01-2015 22:44,08-01-2015 22:47,2,0.63,0,0,1,N,0,0,2,4.5,0.5,0.5,0,0,5.8,5344861
2,08-01-2015 22:44,08-01-2015 23:09,6,5.46,-73.99057007,40.74446869,1,N,-73.93954468,40.6987915,1,20.5,0.5,0.5,4.2,0,26,3345465
1,08-01-2015 22:44,08-01-2015 23:13,1,18.6,-73.78326416,40.64864731,2,N,-73.9552536,40.80725861,1,52,0,0.5,5.81,5.33,63.94,893934
2,08-01-2015 22:44,08-01-2015 22:54,1,4.26,-73.98200226,40.66715622,1,N,-74.02510071,40.63833618,2,14,0.5,0.5,0,0,15.3,36865
1,08-01-2015 22:44,08-01-2015 22:59,2,3.8,-73.98756409,40.73586655,1,N,-73.9810257,40.77936172,1,14.5,0.5,0.5,2,0,17.8,37874348
2,08-01-2015 22:44,08-01-2015 23:13,1,17.09,-73.87474823,40.77407837,1,N,-73.96674347,40.61197281,1,47,0.5,0.5,9.5,0,57.8,459479750
2,08-01-2015 22:44,08-01-2015 22:49,2,1.41,-73.98000336,40.74333954,1,N,-73.97749329,40.72937012,1,6.5,0.5,0.5,1.4,0,9.2,84856
2,08-01-2015 22:44,08-01-2015 22:59,4,4.17,-74.00057983,40.74625778,1,N,-73.95797729,40.78179169,1,15,0.5,0.5,3.1,0,19.4,844
2,08-01-2015 22:44,08-01-2015 23:00,1,6.39,-73.98162842,40.74707031,1,N,-73.9989624,40.69392014,1,20,0.5,0.5,3,0,24.3,5002
2,08-01-2015 22:44,08-01-2015 23:24,1,23.34,-73.77668762,40.64531708,1,N,-73.90849304,40.88198853,2,63,0.5,0.5,0,5.33,69.63,5344862
2,08-01-2015 22:44,08-01-2015 23:03,1,5.64,-73.97862244,40.76227188,1,N,-73.90653229,40.77310181,1,19,0.5,0.5,3,0,23.3,3345466
1,08-01-2015 22:44,08-01-2015 22:51,2,2.6,-74.00762939,40.74292374,1,N,-73.98201752,40.76945114,2,9.5,0,0.5,0,0,10.3,893935
1,08-01-2015 22:44,08-01-2015 23:00,1,8.9,-73.86339569,40.7695694,1,N,-73.95113373,40.77035141,1,26,0.5,0.5,6.52,5.33,39.15,36866
1,08-01-2015 22:44,08-01-2015 23:04,1,5.5,-73.98955536,40.734375,1,N,-73.97234344,40.79628754,1,20,0.5,0.5,4.26,0,25.56,37874349
1,08-01-2015 22:44,08-01-2015 23:05,1,6.9,-73.9969635,40.74228287,1,Y,-73.98325348,40.69350433,1,22.5,0.5,0.5,5.95,0,29.75,459479751
1,08-01-2015 22:44,08-01-2015 22:46,1,0.3,-74.00482941,40.73744202,1,N,-74.00127411,40.74098206,1,3.5,0.5,0.5,0.96,0,5.76,84857
2,08-01-2015 22:44,08-01-2015 23:02,1,3.34,-73.98852539,40.74881363,1,N,-73.9524765,40.7781868,1,14.5,0.5,0.5,2,0,17.8,845
2,08-01-2015 22:44,08-01-2015 22:53,1,2.36,-73.9911499,40.69939041,1,N,-73.99429321,40.71235275,1,9.5,0.5,0.5,2,0,12.8,5003
1,08-01-2015 22:44,08-01-2015 22:52,1,3,-74.00453949,40.72148132,1,N,-73.99134827,40.68864441,1,11,0.5,0.5,2.46,0,14.76,5344863
2,08-01-2015 22:44,08-01-2015 23:08,1,5.6,-74.00943756,40.72357178,1,N,-73.95613861,40.67123032,1,21,0.5,0.5,5.38,0,27.68,3345467
2,08-01-2015 22:44,08-01-2015 22:55,1,2.28,-73.96122742,40.77423477,1,N,-73.97618866,40.74897766,2,10,0.5,0.5,0,0,11.3,893936
1,08-01-2015 22:44,08-01-2015 22:52,1,1.6,-73.98570251,40.74383163,1,N,-73.9828949,40.76200867,1,8,0.5,0.5,2,0,11.3,36867
1,08-01-2015 22:44,08-01-2015 22:58,1,2,-73.98213959,40.76823044,1,N,-73.97323608,40.74823761,1,11.5,0.5,0.5,2.55,0,15.35,37874350
